"1","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"287","3.3.2","host","'1' ETX"
"288","host","3.3.1","ESC ENQ"
"289","3.3.2","host","'1' ETX"
"290","host","3.3.1","ESC ENQ"
"291","3.3.2","host","'1' ETX"
"292","host","3.3.1","ESC ENQ"
"293","3.3.2","host","'0' ETX"
"294","host","3.3.1","'M254,2179' ETX"
"295","host","3.3.1","BE1 ... ETX"
"296","host","3.3.1","BE2 ... ETX"
"297","host","3.3.1","BE1 ... ETX"
"298","host","3.3.1","ESC ENQ"
"299","3.3.2","host","'1' ETX"
"300","host","3.3.1","ESC ENQ"
"301","3.3.2","host","'1' ETX"
"302","host","3.3.1","ESC ENQ"
"303","3.3.2","host","'1' ETX"
"304","host","3.3.1","ESC ENQ"
"305","3.3.2","host","'1' ETX"
"306","host","3.3.1","ESC ENQ"
"307","3.3.2","host","'1' ETX"
"308","host","3.3.1","ESC ENQ"
"309","3.3.2","host","'1' ETX"
"310","host","3.3.1","ESC ENQ"
"311","3.3.2","host","'1' ETX"
"312","host","3.3.1","ESC ENQ"
"313","3.3.2","host","'1' ETX"
"314","host","3.3.1","ESC ENQ"
"315","3.3.2","host","'1' ETX"
"316","host","3.3.1","ESC ENQ"
"317","3.3.2","host","'1' ETX"
"318","host","3.3.1","ESC ENQ"
"319","3.3.2","host","'1' ETX"
"320","host","3.3.1","ESC ENQ"
"321","3.3.2","host","'0' ETX"
"322","host","3.3.1","ESC ENQ"
"323","3.3.2","host","'0' ETX"
"324","host","3.3.1","ESC ENQ"
"325","3.3.2","host","'0' ETX"
"326","host","3.3.1","'L0' ETX"
,,,"'J1' ETX"
"327","host","3.3.1","'FX10,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"328","host","3.3.1","'FY1' ETX"
,,,"'TF5,1' ETX"
"329","host","3.3.1","ESC ENQ"
"330","3.3.2","host","'1' ETX"
"331","host","3.3.1","ESC ENQ"
"332","3.3.2","host","'1' ETX"
"333","host","3.3.1","ESC ENQ"
"334","3.3.2","host","'1' ETX"
"335","host","3.3.1","ESC ENQ"
"336","3.3.2","host","'1' ETX"
"337","host","3.3.1","ESC ENQ"
"338","3.3.2","host","'1' ETX"
"339","host","3.3.1","ESC ENQ"
"340","3.3.2","host","'1' ETX"
"341","host","3.3.1","ESC ENQ"
"342","3.3.2","host","'1' ETX"
"343","host","3.3.1","ESC ENQ"
"344","3.3.2","host","'1' ETX"
"345","host","3.3.1","ESC ENQ"
"346","3.3.2","host","'1' ETX"
"347","host","3.3.1","ESC ENQ"
"348","3.3.2","host","'1' ETX"
"349","host","3.3.1","ESC ENQ"
"350","3.3.2","host","'1' ETX"
"351","host","3.3.1","ESC ENQ"
"352","3.3.2","host","'1' ETX"
"353","host","3.3.1","ESC ENQ"
"354","3.3.2","host","'1' ETX"
"355","host","3.3.1","ESC ENQ"
"356","3.3.2","host","'1' ETX"
"357","host","3.3.1","ESC ENQ"
"358","3.3.2","host","'1' ETX"
"359","host","3.3.1","ESC ENQ"
"360","3.3.2","host","'1' ETX"
"361","host","3.3.1","ESC ENQ"
"362","3.3.2","host","'1' ETX"
"363","host","3.3.1","ESC ENQ"
"364","3.3.2","host","'1' ETX"
"365","host","3.3.1","ESC ENQ"
"366","3.3.2","host","'1' ETX"
"367","host","3.3.1","ESC ENQ"
"368","3.3.2","host","'1' ETX"
"369","host","3.3.1","ESC ENQ"
"370","3.3.2","host","'1' ETX"
"371","host","3.3.1","ESC ENQ"
"372","3.3.2","host","'1' ETX"
"373","host","3.3.1","ESC ENQ"
"374","3.3.2","host","'0' ETX"
"375","host","3.3.1","'M254,2814' ETX"
"376","host","3.3.1","BE1 ... ETX"
"377","host","3.3.1","BE2 ... ETX"
"378","host","3.3.1","BE1 ... ETX"
"379","host","3.3.1","ESC ENQ"
"380","3.3.2","host","'1' ETX"
"381","host","3.3.1","ESC ENQ"
"382","3.3.2","host","'1' ETX"
"383","host","3.3.1","ESC ENQ"
"384","3.3.2","host","'1' ETX"
"385","host","3.3.1","ESC ENQ"
"386","3.3.2","host","'1' ETX"
"387","host","3.3.1","ESC ENQ"
"388","3.3.2","host","'1' ETX"
"389","host","3.3.1","ESC ENQ"
"390","3.3.2","host","'1' ETX"
"391","host","3.3.1","ESC ENQ"
"392","3.3.2","host","'1' ETX"
"393","host","3.3.1","ESC ENQ"
"394","3.3.2","host","'1' ETX"
"395","host","3.3.1","ESC ENQ"
"396","3.3.2","host","'1' ETX"
"397","host","3.3.1","ESC ENQ"
"398","3.3.2","host","'1' ETX"
"399","host","3.3.1","ESC ENQ"
"400","3.3.2","host","'1' ETX"
"401","host","3.3.1","ESC ENQ"
"402","3.3.2","host","'1' ETX"
"403","host","3.3.1","ESC ENQ"
"404","3.3.2","host","'0' ETX"
"405","host","3.3.1","ESC ENQ"
"406","3.3.2","host","'0' ETX"
"407","host","3.3.1","ESC ENQ"
"408","3.3.2","host","'0' ETX"
"409","host","3.3.1","'L0' ETX"
,,,"'J1' ETX"
"410","host","3.3.1","'FX5,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"411","host","3.3.1","'FY1' ETX"
,,,"'TF6,1' ETX"
"412","host","3.3.1","ESC ENQ"
"413","3.3.2","host","'1' ETX"
"414","host","3.3.1","ESC ENQ"
"415","3.3.2","host","'1' ETX"
"416","host","3.3.1","ESC ENQ"
"417","3.3.2","host","'1' ETX"
"418","host","3.3.1","ESC ENQ"
"419","3.3.2","host","'1' ETX"
"420","host","3.3.1","ESC ENQ"
"421","3.3.2","host","'1' ETX"
"422","host","3.3.1","ESC ENQ"
"423","3.3.2","host","'1' ETX"
"424","host","3.3.1","ESC ENQ"
"425","3.3.2","host","'1' ETX"
"426","host","3.3.1","ESC ENQ"
"427","3.3.2","host","'1' ETX"
"428","host","3.3.1","ESC ENQ"
"429","3.3.2","host","'1' ETX"
"430","host","3.3.1","ESC ENQ"
"431","3.3.2","host","'1' ETX"
"432","host","3.3.1","ESC ENQ"
"433","3.3.2","host","'1' ETX"
"434","host","3.3.1","ESC ENQ"
"435","3.3.2","host","'1' ETX"
"436","host","3.3.1","ESC ENQ"
"437","3.3.2","host","'1' ETX"
"438","host","3.3.1","ESC ENQ"
"439","3.3.2","host","'1' ETX"
"440","host","3.3.1","ESC ENQ"
"441","3.3.2","host","'1' ETX"
"442","host","3.3.1","ESC ENQ"
"443","3.3.2","host","'1' ETX"
"444","host","3.3.1","ESC ENQ"
"445","3.3.2","host","'1' ETX"
"446","host","3.3.1","ESC ENQ"
"447","3.3.2","host","'1' ETX"
"448","host","3.3.1","ESC ENQ"
"449","3.3.2","host","'1' ETX"
"450","host","3.3.1","ESC ENQ"
"451","3.3.2","host","'1' ETX"
"452","host","3.3.1","ESC ENQ"
"453","3.3.2","host","'1' ETX"
"454","host","3.3.1","ESC ENQ"
"455","3.3.2","host","'1' ETX"
"456","host","3.3.1","ESC ENQ"
"457","3.3.2","host","'0' ETX"
"458","host","3.3.1","'M254,3449' ETX"
"459","host","3.3.1","BE1 ... ETX"
"460","host","3.3.1","BE2 ... ETX"
"461","host","3.3.1","BE1 ... ETX"
"462","host","3.3.1","ESC ENQ"
"463","3.3.2","host","'1' ETX"
"464","host","3.3.1","ESC ENQ"
"465","3.3.2","host","'1' ETX"
"466","host","3.3.1","ESC ENQ"
"467","3.3.2","host","'1' ETX"
"468","host","3.3.1","ESC ENQ"
"469","3.3.2","host","'1' ETX"
"470","host","3.3.1","ESC ENQ"
"471","3.3.2","host","'1' ETX"
"472","host","3.3.1","ESC ENQ"
"473","3.3.2","host","'1' ETX"
"474","host","3.3.1","ESC ENQ"
"475","3.3.2","host","'1' ETX"
"476","host","3.3.1","ESC ENQ"
"477","3.3.2","host","'1' ETX"
"478","host","3.3.1","ESC ENQ"
"479","3.3.2","host","'1' ETX"
"480","host","3.3.1","ESC ENQ"
"481","3.3.2","host","'1' ETX"
"482","host","3.3.1","ESC ENQ"
"483","3.3.2","host","'1' ETX"
"484","host","3.3.1","ESC ENQ"
"485","3.3.2","host","'1' ETX"
"486","host","3.3.1","ESC ENQ"
"487","3.3.2","host","'1' ETX"
"488","host","3.3.1","ESC ENQ"
"489","3.3.2","host","'0' ETX"
"490","host","3.3.1","ESC ENQ"
"491","3.3.2","host","'0' ETX"
"492","host","3.3.1","ESC ENQ"
"493","3.3.2","host","'0' ETX"
"494","host","3.3.1","'L0' ETX"
,,,"'J2' ETX"
