"2","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"816","3.3.2","host","'0' ETX"
"817","host","3.3.1","'L0' ETX"
,,,"'J1' ETX"
"820","host","3.3.1","'FX5,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"822","host","3.3.1","'FY1' ETX"
,,,"'TF6,1' ETX"
"824","host","3.3.1","ESC ENQ"
"826","3.3.2","host","'1' ETX"
"827","host","3.3.1","ESC ENQ"
"830","3.3.2","host","'1' ETX"
"831","host","3.3.1","ESC ENQ"
"834","3.3.2","host","'1' ETX"
"836","host","3.3.1","ESC ENQ"
"838","3.3.2","host","'1' ETX"
"840","host","3.3.1","ESC ENQ"
"842","3.3.2","host","'1' ETX"
"844","host","3.3.1","ESC ENQ"
"846","3.3.2","host","'1' ETX"
"848","host","3.3.1","ESC ENQ"
"850","3.3.2","host","'1' ETX"
"852","host","3.3.1","ESC ENQ"
"854","3.3.2","host","'1' ETX"
"856","host","3.3.1","ESC ENQ"
"858","3.3.2","host","'1' ETX"
"860","host","3.3.1","ESC ENQ"
"862","3.3.2","host","'1' ETX"
"864","host","3.3.1","ESC ENQ"
"866","3.3.2","host","'1' ETX"
"868","host","3.3.1","ESC ENQ"
"870","3.3.2","host","'1' ETX"
"872","host","3.3.1","ESC ENQ"
"874","3.3.2","host","'1' ETX"
"876","host","3.3.1","ESC ENQ"
"878","3.3.2","host","'1' ETX"
"880","host","3.3.1","ESC ENQ"
"882","3.3.2","host","'1' ETX"
"884","host","3.3.1","ESC ENQ"
"886","3.3.2","host","'1' ETX"
"888","host","3.3.1","ESC ENQ"
"890","3.3.2","host","'1' ETX"
"892","host","3.3.1","ESC ENQ"
"894","3.3.2","host","'1' ETX"
"896","host","3.3.1","ESC ENQ"
"898","3.3.2","host","'1' ETX"
"900","host","3.3.1","ESC ENQ"
"902","3.3.2","host","'1' ETX"
"904","host","3.3.1","ESC ENQ"
"906","3.3.2","host","'1' ETX"
"908","host","3.3.1","ESC ENQ"
"910","3.3.2","host","'1' ETX"
"912","host","3.3.1","ESC ENQ"
"914","3.3.2","host","'0' ETX"
"915","host","3.3.1","'M254,3449' ETX"
"918","host","3.3.1","BE1 ... ETX"
"920","host","3.3.1","BE2 ... ETX"
"922","host","3.3.1","BE1 ... ETX"
"924","host","3.3.1","ESC ENQ"
"926","3.3.2","host","'1' ETX"
"927","host","3.3.1","ESC ENQ"
"930","3.3.2","host","'1' ETX"
"931","host","3.3.1","ESC ENQ"
"934","3.3.2","host","'1' ETX"
"936","host","3.3.1","ESC ENQ"
"938","3.3.2","host","'1' ETX"
"940","host","3.3.1","ESC ENQ"
"942","3.3.2","host","'1' ETX"
"944","host","3.3.1","ESC ENQ"
"946","3.3.2","host","'1' ETX"
"948","host","3.3.1","ESC ENQ"
"950","3.3.2","host","'1' ETX"
"952","host","3.3.1","ESC ENQ"
"954","3.3.2","host","'1' ETX"
"956","host","3.3.1","ESC ENQ"
"958","3.3.2","host","'1' ETX"
"960","host","3.3.1","ESC ENQ"
"962","3.3.2","host","'1' ETX"
"964","host","3.3.1","ESC ENQ"
"966","3.3.2","host","'1' ETX"
"968","host","3.3.1","ESC ENQ"
"970","3.3.2","host","'1' ETX"
"972","host","3.3.1","ESC ENQ"
"974","3.3.2","host","'1' ETX"
"976","host","3.3.1","ESC ENQ"
"978","3.3.2","host","'0' ETX"
"979","host","3.3.1","ESC ENQ"
"982","3.3.2","host","'0' ETX"
"983","host","3.3.1","ESC ENQ"
"986","3.3.2","host","'0' ETX"
"987","host","3.3.1","'L0' ETX"
,,,"'J2' ETX"
"990","host","3.3.1","'!4,2' ETX"
,,,"'FX20,2' ETX"
,,,"'FE0,2' ETX"
,,,"'FF1,0,2' ETX"
,,,"'FF1,1,2' ETX"
,,,"'FC0,1,2' ETX"
,,,"'FC18,1,2' ETX"
"992","host","3.3.1","ESC ENQ"
"994","3.3.2","host","'0' ETX"
