"2","3.2.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"796","3.2.2","host","'1' ETX"
"798","host","3.2.1","ESC ENQ"
"800","3.2.2","host","'1' ETX"
"802","host","3.2.1","ESC ENQ"
"804","3.2.2","host","'1' ETX"
"806","host","3.2.1","ESC ENQ"
"808","3.2.2","host","'1' ETX"
"810","host","3.2.1","ESC ENQ"
"812","3.2.2","host","'1' ETX"
"814","host","3.2.1","ESC ENQ"
"816","3.2.2","host","'1' ETX"
"818","host","3.2.1","ESC ENQ"
"820","3.2.2","host","'1' ETX"
"822","host","3.2.1","ESC ENQ"
"824","3.2.2","host","'1' ETX"
"826","host","3.2.1","ESC ENQ"
"828","3.2.2","host","'0' ETX"
"829","host","3.2.1","'M254,274' ETX"
"832","host","3.2.1","BE1 ... ETX"
"834","host","3.2.1","BE2 ... ETX"
"836","host","3.2.1","BE1 ... ETX"
"838","host","3.2.1","ESC ENQ"
"840","3.2.2","host","'1' ETX"
"841","host","3.2.1","ESC ENQ"
"844","3.2.2","host","'1' ETX"
"845","host","3.2.1","ESC ENQ"
"848","3.2.2","host","'1' ETX"
"850","host","3.2.1","ESC ENQ"
"852","3.2.2","host","'1' ETX"
"854","host","3.2.1","ESC ENQ"
"856","3.2.2","host","'1' ETX"
"858","host","3.2.1","ESC ENQ"
"860","3.2.2","host","'1' ETX"
"862","host","3.2.1","ESC ENQ"
"864","3.2.2","host","'1' ETX"
"866","host","3.2.1","ESC ENQ"
"868","3.2.2","host","'3' ETX"
"870","host","3.2.1","ESC ENQ"
"872","3.2.2","host","'3' ETX"
"874","host","3.2.1","ESC ENQ"
"876","3.2.2","host","'3' ETX"
"878","host","3.2.1","ESC ENQ"
"880","3.2.2","host","'3' ETX"
"882","host","3.2.1","ESC ENQ"
"884","3.2.2","host","'3' ETX"
"886","host","3.2.1","ESC ENQ"
"888","3.2.2","host","'3' ETX"
"890","host","3.2.1","ESC ENQ"
"892","3.2.2","host","'3' ETX"
"894","host","3.2.1","ESC ENQ"
"896","3.2.2","host","'3' ETX"
"898","host","3.2.1","ESC ENQ"
"900","3.2.2","host","'3' ETX"
"902","host","3.2.1","ESC ENQ"
"904","3.2.2","host","'3' ETX"
"906","host","3.2.1","ESC ENQ"
"908","3.2.2","host","'3' ETX"
"910","host","3.2.1","ESC ENQ"
"912","3.2.2","host","'3' ETX"
"914","host","3.2.1","ESC ENQ"
"916","3.2.2","host","'3' ETX"
"918","host","3.2.1","ESC ENQ"
"920","3.2.2","host","'3' ETX"
"922","host","3.2.1","ESC ENQ"
"924","3.2.2","host","'3' ETX"
"926","host","3.2.1","ESC ENQ"
"928","3.2.2","host","'3' ETX"
"930","host","3.2.1","ESC ENQ"
"932","3.2.2","host","'3' ETX"
"934","host","3.2.1","ESC ENQ"
"936","3.2.2","host","'0' ETX"
"937","host","3.2.1","ESC ENQ"
"940","3.2.2","host","'0' ETX"
"941","host","3.2.1","ESC ENQ"
"944","3.2.2","host","'0' ETX"
"945","host","3.2.1","'L0' ETX"
,,,"'J1' ETX"
"948","host","3.2.1","'FX25,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"950","host","3.2.1","'FY1' ETX"
,,,"'TF2,1' ETX"
"952","host","3.2.1","ESC ENQ"
"954","3.2.2","host","'1' ETX"
"955","host","3.2.1","ESC ENQ"
"958","3.2.2","host","'1' ETX"
"959","host","3.2.1","ESC ENQ"
"962","3.2.2","host","'1' ETX"
"964","host","3.2.1","ESC ENQ"
"966","3.2.2","host","'1' ETX"
"968","host","3.2.1","ESC ENQ"
"970","3.2.2","host","'1' ETX"
"972","host","3.2.1","ESC ENQ"
"974","3.2.2","host","'1' ETX"
"976","host","3.2.1","ESC ENQ"
"978","3.2.2","host","'1' ETX"
"980","host","3.2.1","ESC ENQ"
"982","3.2.2","host","'1' ETX"
"984","host","3.2.1","ESC ENQ"
"986","3.2.2","host","'1' ETX"
"988","host","3.2.1","ESC ENQ"
"990","3.2.2","host","'1' ETX"
"992","host","3.2.1","ESC ENQ"
"994","3.2.2","host","'1' ETX"
"996","host","3.2.1","ESC ENQ"
"998","3.2.2","host","'1' ETX"
"1000","host","3.2.1","ESC ENQ"
"1002","3.2.2","host","'1' ETX"
"1004","host","3.2.1","ESC ENQ"
"1006","3.2.2","host","'1' ETX"
"1008","host","3.2.1","ESC ENQ"
"1010","3.2.2","host","'1' ETX"
"1012","host","3.2.1","ESC ENQ"
"1014","3.2.2","host","'1' ETX"
"1016","host","3.2.1","ESC ENQ"
"1018","3.2.2","host","'1' ETX"
"1020","host","3.2.1","ESC ENQ"
"1022","3.2.2","host","'1' ETX"
"1024","host","3.2.1","ESC ENQ"
"1026","3.2.2","host","'1' ETX"
"1028","host","3.2.1","ESC ENQ"
"1030","3.2.2","host","'1' ETX"
"1032","host","3.2.1","ESC ENQ"
"1034","3.2.2","host","'0' ETX"
"1035","host","3.2.1","'M254,909' ETX"
"1038","host","3.2.1","BE1 ... ETX"
"1040","host","3.2.1","BE2 ... ETX"
"1042","host","3.2.1","BE1 ... ETX"
"1044","host","3.2.1","ESC ENQ"
"1046","3.2.2","host","'1' ETX"
"1047","host","3.2.1","ESC ENQ"
"1050","3.2.2","host","'1' ETX"
"1051","host","3.2.1","ESC ENQ"
"1054","3.2.2","host","'1' ETX"
"1056","host","3.2.1","ESC ENQ"
"1058","3.2.2","host","'1' ETX"
"1060","host","3.2.1","ESC ENQ"
"1062","3.2.2","host","'1' ETX"
"1064","host","3.2.1","ESC ENQ"
"1066","3.2.2","host","'1' ETX"
"1068","host","3.2.1","ESC ENQ"
"1070","3.2.2","host","'1' ETX"
"1072","host","3.2.1","ESC ENQ"
"1074","3.2.2","host","'1' ETX"
