"1","3.2.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"634","host","3.2.1","ESC ENQ"
"635","3.2.2","host","'0' ETX"
"636","host","3.2.1","'FG' ETX"
"637","3.2.2","host","'CAMEO 3 V1.50    ' ETX"
"638","host","3.2.1","ESC ENQ"
"639","3.2.2","host","'0' ETX"
"640","host","3.2.1","ESC ENQ"
"641","3.2.2","host","'0' ETX"
"642","host","3.2.1","ESC ENQ"
"643","3.2.2","host","'0' ETX"
"644","host","3.2.1","'[' ETX"
"645","3.2.2","host","'     0,     0' ETX"
"646","host","3.2.1","'U' ETX"
"647","3.2.2","host","'  5826,  5212' ETX"
"648","host","3.2.1","'FQ0' ETX"
"649","3.2.2","host","'    5' ETX"
"650","host","3.2.1","'FQ2' ETX"
"651","3.2.2","host","'   18' ETX"
"652","host","3.2.1","'TB71' ETX"
"653","3.2.2","host","'    0,    0' ETX"
"654","host","3.2.1","'FA' ETX"
"655","3.2.2","host","'    0,    0' ETX"
"656","host","3.2.1","'FG' ETX"
"657","3.2.2","host","'CAMEO 3 V1.50    ' ETX"
"658","host","3.2.1","ESC ENQ"
"659","3.2.2","host","'0' ETX"
"660","host","3.2.1","ESC ENQ"
"661","3.2.2","host","'0' ETX"
"662","host","3.2.1","'[' ETX"
"663","3.2.2","host","'     0,     0' ETX"
"664","host","3.2.1","'U' ETX"
"665","3.2.2","host","'  5826,  5212' ETX"
"666","host","3.2.1","'FQ0' ETX"
"667","3.2.2","host","'    5' ETX"
"668","host","3.2.1","'FQ2' ETX"
"669","3.2.2","host","'   18' ETX"
"670","host","3.2.1","'TB71' ETX"
"671","3.2.2","host","'    0,    0' ETX"
"672","host","3.2.1","'FA' ETX"
"673","3.2.2","host","'    0,    0' ETX"
"674","host","3.2.1","ESC ENQ"
"675","3.2.2","host","'0' ETX"
